date,death,deathIncrease,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,positive,positiveIncrease,states,totalTestResults,totalTestResultsIncrease
6/4/20,652,0,601,0,29,601,1929,216227,3484,357,0,19072,221,1,235299,4002
6/3/20,652,2,591,0,21,610,1900,212743,7583,355,0,18851,209,1,231297,7495
6/2/20,650,5,591,0,23,606,1879,205160,0,355,0,18642,279,1,223802,567
6/1/20,645,15,591,0,12,596,1856,205160,5510,355,0,18363,460,1,223235,1928
5/31/20,630,13,589,0,18,527,1844,199650,4808,355,0,17903,544,1,221307,9106
5/30/20,617,13,583,0,26,536,1826,194842,2782,349,0,17359,536,1,212201,3318
5/29/20,604,15,577,0,35,590,1800,192060,7889,344,0,16823,513,1,208883,8402
5/28/20,589,9,566,0,46,527,1765,184171,4220,338,0,16310,467,1,200481,4687
5/27/20,580,6,560,0,48,607,1719,179951,1588,334,0,15843,447,1,195794,2035
5/26/20,574,13,551,0,42,569,1671,178363,2778,327,0,15396,666,1,193759,3444
5/25/20,561,11,543,0,17,450,1629,175585,4113,323,0,14730,403,1,190315,4516
5/24/20,550,5,537,0,23,440,1612,171472,2734,320,0,14327,389,1,185799,3123
5/23/20,545,9,538,0,28,446,1589,168738,4533,319,0,13938,375,1,182676,4908
5/22/20,536,8,531,0,33,598,1561,164205,6585,315,0,13563,444,1,177768,7029
5/21/20,528,12,526,0,35,574,1528,157620,5914,311,0,13119,375,1,170739,6289
5/20/20,516,13,524,0,40,560,1493,151706,6516,309,0,12744,368,1,164450,6884
5/19/20,503,15,517,0,37,489,1453,145190,153,306,0,12376,290,1,157566,443
5/18/20,488,1,512,0,24,536,1416,145037,458,302,0,12086,315,1,157123,773
5/17/20,487,3,504,0,5,460,1392,144579,2608,296,0,11771,248,1,156350,2856
5/16/20,484,9,501,0,10,455,1387,141971,7124,295,0,11523,307,1,153494,7431
5/15/20,475,9,497,0,27,519,1377,134847,3830,293,0,11216,248,1,146063,9691
5/14/20,466,18,489,0,33,509,1350,131017,5262,291,0,10968,351,1,136372,3154
5/13/20,448,20,477,0,30,524,1317,125755,2847,284,0,10617,307,1,133218,0
5/12/20,428,28,468,0,31,529,1287,122908,3473,280,0,10310,301,1,133218,3774
5/11/20,400,8,463,0,16,458,1256,119435,1791,276,0,10009,232,1,129444,2023
5/10/20,392,5,460,0,12,424,1240,117644,1717,274,0,9777,210,1,127421,1927
5/9/20,387,13,459,0,21,437,1228,115927,5034,272,0,9567,346,1,125494,5380
5/8/20,374,26,454,0,29,481,1207,110893,4618,266,0,9221,323,1,120114,4941
5/7/20,348,9,448,0,20,502,1178,106275,5340,266,0,8898,317,1,115173,5657
5/6/20,339,27,442,0,51,485,1158,100935,2454,264,0,8581,296,1,109516,2750
5/5/20,312,17,428,0,43,522,1107,98481,3389,255,0,8285,260,1,106766,3649
5/4/20,295,6,411,0,29,517,1064,95092,10317,247,0,8025,300,1,103117,10617
5/3/20,289,2,403,0,12,427,1035,84775,0,242,0,7725,291,1,92500,291
5/2/20,287,9,335,0,15,420,1023,84775,0,195,0,7434,276,1,92209,276
5/1/20,278,10,335,0,30,495,1008,84775,4598,195,0,7158,139,1,91933,4737
4/30/20,268,24,335,0,33,479,978,80177,6570,195,0,7019,177,1,87196,6747
4/29/20,244,3,335,0,34,498,945,73607,4467,195,0,6842,155,1,80449,4622
4/28/20,241,20,335,0,39,530,911,69140,1642,195,0,6687,188,1,75827,1830
4/27/20,221,6,335,0,27,426,872,67498,217,195,0,6499,229,1,73997,446
4/26/20,215,4,288,0,6,384,845,67281,2074,170,0,6270,133,1,73551,2207
4/25/20,211,15,288,0,71,351,839,65207,18344,170,0,6137,305,1,71344,18649
4/24/20,196,0,288,0,0,429,768,46863,0,170,0,5832,54,1,52695,54
4/23/20,196,3,288,0,38,406,768,46863,3568,170,0,5778,313,1,52641,3881
4/22/20,193,17,288,0,31,440,730,43295,0,170,0,5465,234,1,48760,234
4/21/20,176,10,260,0,58,401,699,43295,2420,157,0,5231,206,1,48526,2626
4/20/20,166,13,260,0,0,397,641,40875,0,157,0,5025,188,1,45900,188
4/19/20,153,8,260,0,21,360,641,40875,2992,157,0,4837,182,1,45712,3174
4/18/20,145,2,247,0,26,359,620,37883,4565,148,0,4655,125,1,42538,4690
4/17/20,143,11,247,0,41,364,594,33318,1272,148,0,4530,185,1,37848,1457
4/16/20,132,12,227,0,28,360,553,32046,2082,137,0,4345,232,1,36391,2314
4/15/20,120,11,219,0,32,402,525,29964,723,134,0,4113,237,1,34077,960
4/14/20,109,11,210,0,36,380,493,29241,3793,132,0,3876,142,1,33117,3935
4/13/20,98,6,189,0,20,380,457,25448,7390,119,0,3734,209,1,29182,7599
4/12/20,92,2,189,0,35,290,437,18058,0,119,0,3525,334,1,21583,334
4/11/20,90,11,177,0,34,343,402,18058,0,113,0,3191,223,1,21249,223
4/10/20,79,6,0,0,35,350,368,18058,0,0,0,2968,199,1,21026,199
4/9/20,73,8,0,0,19,324,333,18058,1305,0,0,2769,400,1,20827,1705
4/8/20,65,10,0,0,43,308,314,16753,3956,0,0,2369,250,1,19122,4206
4/7/20,55,6,0,0,31,302,271,12797,0,0,0,2119,151,1,14916,151
4/6/20,49,5,0,0,9,297,240,12797,1515,0,0,1968,172,1,14765,1687
4/5/20,44,2,0,0,19,282,231,11282,2009,0,0,1796,216,1,13078,2225
4/4/20,42,8,0,0,212,238,212,9273,1086,0,0,1580,148,1,10853,1234
4/3/20,34,3,0,0,0,238,0,8187,684,0,0,1432,199,1,9619,883
4/2/20,31,6,0,0,0,226,0,7503,806,0,0,1233,156,1,8736,962
4/1/20,25,13,0,0,0,258,0,6697,399,0,0,1077,96,1,7774,495
3/31/20,12,7,0,0,0,172,0,6298,604,0,0,981,122,1,7279,726
3/30/20,5,2,0,0,0,156,0,5694,1510,0,0,859,53,1,6553,1563
3/29/20,3,1,0,0,0,158,0,4184,0,0,0,806,110,1,4990,110
3/28/20,2,0,0,0,0,134,0,4184,0,0,0,696,109,1,4880,109
3/27/20,2,2,0,0,0,112,0,4184,591,0,0,587,81,1,4771,672
3/26/20,0,1,0,0,0,106,0,3593,1064,0,0,506,223,1,4099,1287
3/25/20,0,0,0,0,0,91,0,2529,423,0,0,283,68,1,2812,491
3/24/20,0,0,0,0,0,74,0,2106,441,0,0,215,48,1,2321,489
3/23/20,0,0,0,0,0,0,0,1665,201,0,0,167,29,1,1832,230
3/22/20,0,0,0,0,0,0,0,1464,1436,0,0,138,14,1,1602,1450
3/21/20,0,0,0,0,0,0,0,28,0,0,0,124,43,1,152,43
3/20/20,0,0,0,0,0,0,0,28,0,0,0,81,13,1,109,13
3/19/20,0,0,0,0,0,0,0,28,0,0,0,68,22,1,96,22
3/18/20,0,0,0,0,0,0,0,28,0,0,0,46,10,1,74,10
3/17/20,0,0,0,0,0,0,0,28,0,0,0,36,8,1,64,8
3/16/20,0,0,0,0,0,0,0,28,0,0,0,28,16,1,56,16
3/15/20,0,0,0,0,0,0,0,28,6,0,0,12,6,1,40,12
3/14/20,0,0,0,0,0,0,0,22,11,0,0,6,5,1,28,16
3/13/20,0,0,0,0,0,0,0,11,1,0,0,1,1,1,12,2
3/12/20,0,0,0,0,0,0,0,10,0,0,0,0,0,1,10,0
3/11/20,0,0,0,0,0,0,0,10,10,0,0,0,0,1,10,10
3/10/20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3/9/20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3/8/20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3/7/20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
